search_id,nbs_id,suitability_family_id,table,category,search_terms,screening_steps,inclusion_criteria,limits,n_retrieved,n_screened,n_included,search_date,run_id,searched_by,ruleset_version,discovery_log_ref,note
agroforestry__T4__tool__agroforestry__homegardens_proximity__2026-08-05,agroforestry,agroforestry__homegardens_proximity,T4,tool,WebSearch: 'home garden agroforestry spatial suitability mapping GIS GitHub'; GitHub repo inspection of saraheb3/AgroforestrySuitability_GEE,frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,6,3,0,2026-08-05,discovery_crossfam_homegardens_2026-08,Pete/Claude,v1.4.1,agroforestry_homegardens_proximity_T4_2026-08.md,"Only candidate tool (saraheb3/AgroforestrySuitability_GEE, gee_scripts/ + gee_app/, 17 commits) targets alley cropping / riparian buffers / silvopasture / windbreaks over US temperate land with 9 temperate tree species — NO homegarden/homestead code branch or criterion. PICOS FAIL for this family (practice not in source; wrong context). No homegarden-specific spatial-suitability tool exists on GitHub/platforms. Zero tools included."
agroforestry__T4__stock__agroforestry__cross_family__2026-08-05,agroforestry,agroforestry__cross_family,T4,stock,OpenAlex title.search: agroforestry AND (suitability OR biophysical OR mapping OR land) ; sort=cited_by_count:desc ; per_page=15,frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,991,15,2,2026-08-05,discovery_crossfam_homegardens_2026-08,Pete/Claude,v1.4.1,agroforestry_cross_family_T4_2026-08.md,"High-cite classics. Zomer2016 (trees-on-farms global mapping = observed-distribution system_constraint, OA gold) + Nair1997 (biophysical interactions envelope, seminal, paywalled). Many top hits are ecosystem-service/carbon outcome papers (T6, not T4) or species/pollinator studies -> excluded for T4."
agroforestry__T4__updated_lit__agroforestry__cross_family__2026-08-05,agroforestry,agroforestry__cross_family,T4,updated_lit,"OpenAlex title.search: agroforestry AND (suitability OR adoption OR mapping OR potential) , from_publication_date:2015-01-01 ; sort=cited_by_count:desc ; per_page=15 (companion determinants query: agroforestry AND (constraint OR determinant OR driver OR barrier), 202 hits)",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,933,27,2,2026-08-05,discovery_crossfam_homegardens_2026-08,Pete/Claude,v1.4.1,agroforestry_cross_family_T4_2026-08.md,"Dollinger2023 soil-based adaptation (biophysical_constraint, OA) + Sanou2019 socio-ecological niche across agroecologies (system_constraint agroecology, OA). NOTE most 2015-2026 hits are ADOPTION-DRIVER papers (extension, credit, tenure, labour) = soft enabling-env -> operational_risk/M2b, OUT of T4 scope; deliberately not included here."
agroforestry__T4__grey__agroforestry__cross_family__2026-08-05,agroforestry,agroforestry__cross_family,T4,grey,"WebSearch EN: ""agroforestry suitability mapping biophysical criteria WOCAT FAO where trees on farms grow climate soil terrain"" ; WebSearch EN: ""WOCAT agroforestry technology land suitability slope rainfall requirements ICRAF suitability where agroforestry can be established""",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,16,16,2,2026-08-05,discovery_crossfam_homegardens_2026-08,Pete/Claude,v1.4.1,agroforestry_cross_family_T4_2026-08.md,"CIFOR-ICRAF Jharkhand GIS land-agroforestry potentiality (LMIC India, slope/rainfall/elevation/soil/LULC criteria) + FAO Framework for Land Evaluation applied to agroforestry (nutrient retention/rooting conditions/erosion hazard classes). WOCAT SLM DB not directly surfaced a cross-family agroforestry technology sheet in-search -> gap. Many hits are single-region ML case studies (borderline, not registered as cross-family)."
agroforestry__T4__tool__agroforestry__cross_family__2026-08-05,agroforestry,agroforestry__cross_family,T4,tool,"WebSearch EN: ""agroforestry suitability GIS multi-criteria GitHub tool Earth Engine land suitability model repository"" ; GitHub API repo inspection saraheb3/AgroforestrySuitability_GEE",frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 = biophysical + system_constraint (+hard legal masks); soft enabling-env excluded (operational_risk); species envelopes excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50; cap included ~3-6/process,2,2,1,2026-08-05,discovery_crossfam_homegardens_2026-08,Pete/Claude,v1.4.1,agroforestry_cross_family_T4_2026-08.md,"saraheb3/AgroforestrySuitability_GEE = genuine cross-family AF suitability DST with hardcoded weights + masks (code, not README). AgriSuit (generic agricultural GIS-MCDA) EXCLUDED by PICOS: ships crops, not agroforestry-specific. Per-species tree-growth GEE scripts in same repo IGNORED (species envelopes)."
agroforestry__T4__stock__agroforestry__regeneration_farmland__2026-08-05,agroforestry,agroforestry__regeneration_farmland,T4,stock,"OpenAlex title.search boolean: (FMNR OR ""farmer managed natural regeneration"" OR ""assisted natural regeneration"" OR ""natural regeneration"" OR regreening OR ""regeneration naturelle assistee"") AND (parkland OR Sahel OR density OR drought OR yield OR adoption OR carbon OR suitability OR agroforestry); sort=cited_by_count:desc",frame|source_type|relevance|credibility_six_axis|saturation_stop,"F2 FMNR/ANR/RNA explicit (PICOS); T4 biophysical+system_constraint (parkland/regeneration density, land); EXCLUDE temperate-forestry 'natural regeneration' (Fagus/spruce/pine = wrong practice) + species envelopes",bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50,168,12,2,2026-08-05,fmnr_stock_tool_backfill_2026-08,Pete/Claude,v1.4.1,agroforestry_regeneration_fmnr_2026-07.md,Kessler1994 parkland woody-species dynamics (OA) = parkland system_constraint; note Sendzimir2011 already held via July updated_lit. Excluded temperate-forestry natural-regen (wrong practice).
agroforestry__T4__tool__agroforestry__regeneration_farmland__2026-08-05,agroforestry,agroforestry__regeneration_farmland,T4,tool,GitHub repo search: q=FMNR (19) | 'farmer managed natural regeneration' (0) | regreening (8) | 'assisted natural regeneration' (2); + gh search repos FMNR regreening,frame|source_type|relevance|credibility_six_axis|saturation_stop,"F2 FMNR/ANR/RNA explicit (PICOS); T4 biophysical+system_constraint (parkland/regeneration density, land); EXCLUDE temperate-forestry 'natural regeneration' (Fagus/spruce/pine = wrong practice) + species envelopes",bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50,19,5,0,2026-08-05,fmnr_stock_tool_backfill_2026-08,Pete/Claude,v1.4.1,agroforestry_regeneration_fmnr_2026-07.md,"No dedicated FMNR/ANR practice-suitability or MCDA engine found. 19 'FMNR' repos = unrelated acronym/hobby; Regreening Africa = data portal (geodata), not a rule-encoding tool. tool process = genuine gap for F2 (as for F3)."
forest_restoration__T4__grey__forest_restoration__assisted_regeneration__2026-08-05,forest_restoration,forest_restoration__assisted_regeneration,T4,grey,WebSearch EN: 'FAO assisted natural regeneration guidelines suitability where ANR appropriate site selection restoration' ; 'WRI restoration opportunities atlas assessment methodology natural regeneration potential mapping suitability' ; 'World Bank forest restoration natural regeneration where suitable degraded land spatial prioritization diagnostic tool' ; ES: 'regeneración natural asistida restauración bosque potencial dónde aplicar criterios sitio CIFOR' ; PT: 'regeneração natural assistida restauração floresta potencial mapeamento aptidão Brasil Pacto Mata Atlântica',frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 = regeneration-potential (passive/ANR) or planting-envelope (active) + system_constraint (degraded/deforested land); soft enabling-env excluded; species-envelope SDMs excluded unless practice-level,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50,34,18,4,2026-08-05,forest_restoration_discovery_2026-08,Pete/Claude,v1.4.1,forest_restoration_assisted_regeneration_T4_2026-08.md,"FAO/CIFOR-ICRAF/WRI/WRI-Brasil + Atlantic Forest Pact. Strong site-suitability language (seed-source proximity, prior land-use severity, marginal/hilly/rocky land). ES+PT surfaced LMIC-grounded regen-potential mapping (Brazil 17-75.5 Mha)."
forest_restoration__T4__tool__forest_restoration__assisted_regeneration__2026-08-05,forest_restoration,forest_restoration__assisted_regeneration,T4,tool,WebSearch: 'natural regeneration potential mapping GitHub Google Earth Engine restoration suitability model code seed source distance remnant forest' ; 'RePlant Alfa Google Earth Engine restoration priority areas GitHub code repository weights criteria' ; 'Regenmapper natural regeneration potential distance seed source model code repository' ; GitHub API repositories q=natural+regeneration+potential+restoration / restoration+priority+earth+engine / assisted+natural+regeneration (sort=stars),frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 = regeneration-potential (passive/ANR) or planting-envelope (active) + system_constraint (degraded/deforested land); soft enabling-env excluded; species-envelope SDMs excluded unless practice-level,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50,8,8,3,2026-08-05,forest_restoration_discovery_2026-08,Pete/Claude,v1.4.1,forest_restoration_assisted_regeneration_T4_2026-08.md,"GitHub API: 0 / 1 / 2 repos, NONE relevant to ANR-restoration suitability. Named tools (RePlant Alfa GEE+R, WRI FLR Atlas/ROAM, USFS Regenmapper) have NO located public source repo -> code interrogation (commit sha + file:line of weights/thresholds) BLOCKED; screened in as tool candidates pending repo location."
forest_restoration__T4__grey__forest_restoration__active_planting__2026-08-05,forest_restoration,forest_restoration__active_planting,T4,grey,WebSearch EN: FAO WRI IUCN restoration opportunity mapping reforestation suitability decision support methodology | WebSearch ES: reforestación restauración forestal aptitud sitio plantación especies mapeo áreas prioritarias FAO metodología,frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 = regeneration-potential (passive/ANR) or planting-envelope (active) + system_constraint (degraded/deforested land); soft enabling-env excluded; species-envelope SDMs excluded unless practice-level,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50,16,10,4,2026-08-05,forest_restoration_discovery_2026-08,Pete/Claude,v1.4.1,forest_restoration_active_planting_T4_2026-08.md,"EN+ES run. ROAM (IUCN/WRI, LMIC pilots Ghana/Mexico/Rwanda) + WRI Atlas of FLR Opportunity methodology are core opportunity-mapping references; IUFRO practitioner guide (EN/ES) + a Spanish/LatAm local-area-identification methodology give LMIC + multilingual coverage. FR/PT not separately run (EN/ES saturated on ROAM); flag as gap."
forest_restoration__T4__tool__forest_restoration__active_planting__2026-08-05,forest_restoration,forest_restoration__active_planting,T4,tool,WebSearch: github restoration opportunity mapping reforestation suitability model regeneration potential earth engine | gh api search/repositories?q=afforestation+tracker+sahel | gh api search/repositories?q=restoration+opportunity+suitability+afforestation,frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 = regeneration-potential (passive/ANR) or planting-envelope (active) + system_constraint (degraded/deforested land); soft enabling-env excluded; species-envelope SDMs excluded unless practice-level,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50,12,4,1,2026-08-05,forest_restoration_discovery_2026-08,Pete/Claude,v1.4.1,forest_restoration_active_planting_T4_2026-08.md,"3 candidate repos code-inspected. Afforestation-Tracker = strong INCLUDE (hardcoded afforestation-suitability thresholds confirmed in code, not README). GROA (R, natural-regen carbon) down-ranked to passive/ANR sibling family. Project-Scotland-Reforestation excluded: data-driven RF/XGB, learns criteria at runtime, hardcodes no extractable T4 threshold (same rule as spatMCDA.R)."
forest_restoration__T4__grey__forest_restoration__passive_regeneration__2026-08-05,forest_restoration,forest_restoration__passive_regeneration,T4,grey,WebSearch EN: 'FAO WRI IUCN assisted natural regeneration restoration opportunity mapping guidelines where suitable degraded land'; multilingual ES/FR/PT: 'regeneración natural restauración bosque potencial mapeo áreas prioritarias / régénération naturelle forêt cartographie',frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 = regeneration-potential (passive/ANR) or planting-envelope (active) + system_constraint (degraded/deforested land); soft enabling-env excluded; species-envelope SDMs excluded unless practice-level,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50,15,15,3,2026-08-05,forest_restoration_discovery_2026-08,Pete/Claude,v1.4.1,forest_restoration_passive_regeneration_T4_2026-08.md,"Diamond grey sources: IUCN/WRI ROAM handbook (EN/FR/ES/PT road-test edition), FAO FLR Mechanism restoration-opportunity assessment, Yale ELTI Tropical Restoration Library (Natural & Assisted NR). CIFOR-ICRAF Forests News (ES/EN) screened OUT as popular-news explainer (no extractable T4 rule). LMIC-grounded (Ghana/Rwanda/Mexico/Brazil/Ethiopia/Kenya ROAM applications)."
forest_restoration__T4__tool__forest_restoration__passive_regeneration__2026-08-05,forest_restoration,forest_restoration__passive_regeneration,T4,tool,WebSearch: 'github natural regeneration potential mapping restoration opportunity suitability model code repository'; 'Strassburg PLANGEA github OR Crouzeilles regeneration potential model code github'; WebFetch github.com/search repositories + WRI Atlas methodology page,frame|source_type|relevance|credibility_six_axis|saturation_stop,Practice explicit (PICOS); T4 = regeneration-potential (passive/ANR) or planting-envelope (active) + system_constraint (degraded/deforested land); soft enabling-env excluded; species-envelope SDMs excluded unless practice-level,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50,2,2,1,2026-08-05,forest_restoration_discovery_2026-08,Pete/Claude,v1.4.1,forest_restoration_passive_regeneration_T4_2026-08.md,"WRI/IUCN Atlas of Forest Landscape Restoration Opportunity = tool with hardcoded classification thresholds (pop density <10/km2 wide-scale; 10-100 mosaic; <1 within 500km remote; former-closed-forest mask; 1km res) - genuine system_constraint/mask rules for T4. BUT no public code repo: provenance is doc-level, NOT file:line+commit. GitHub repository search returned 0 usable hits via WebFetch (SPA/render limitation). Williams 2024 & Strassburg PLANGEA analysis code likely on Zenodo - NOT located/"
water_harvesting_conservation__T4__stock__water_harvesting__runoff_catchment__2026-08-05,water_harvesting_conservation,water_harvesting__runoff_catchment,T4,stock,"OpenAlex title.search: (""water harvesting"" OR ""check dam"" OR ""farm pond"" OR ""percolation tank"" OR ""recharge"") AND (""site selection"" OR suitability OR GIS) ; sort=cited_by_count:desc ; + companion run (""check dam"" OR ""farm pond"" OR ""nala bund"" OR ""gully plug"") AND (site OR suitability OR morphometric OR watershed)",frame|source_type|relevance|credibility_six_axis|saturation_stop,WH subpractice explicit (PICOS); T4 = biophysical (runoff/slope/soil/drainage-geomorphology/rainfall) + system_constraint; soft enabling-env excluded; urban-stormwater/domestic-RWH excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50,759,30,3,2026-08-05,water_harvesting_discovery_2026-08,Pete/Claude,v1.4.1,water_harvesting_runoff_catchment_T4_2026-08.md,"Real OpenAlex total for main boolean=759; companion check-dam boolean=155. Screened top-15 of each by citation. Many high-cite hits are groundwater-potential-zone / recharge-exploration hydrogeology (W2153076402, W2341489499 etc.) - EXCLUDED as no WH-structure siting content (pure recharge-zone delineation). Kept morphometric drainage-line siting + artificial-recharge/WH-structure MCDA."
water_harvesting_conservation__T4__updated_lit__water_harvesting__runoff_catchment__2026-08-05,water_harvesting_conservation,water_harvesting__runoff_catchment,T4,updated_lit,"OpenAlex title.search: (""water harvesting"" OR ""check dam"" OR ""farm pond"" OR ""percolation tank"" OR ""sand dam"") AND (""site selection"" OR suitability OR siting) ; filter from_publication_date:2015-01-01 ; sort=cited_by_count:desc",frame|source_type|relevance|credibility_six_axis|saturation_stop,WH subpractice explicit (PICOS); T4 = biophysical (runoff/slope/soil/drainage-geomorphology/rainfall) + system_constraint; soft enabling-env excluded; urban-stormwater/domestic-RWH excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50,152,15,4,2026-08-05,water_harvesting_discovery_2026-08,Pete/Claude,v1.4.1,water_harvesting_runoff_catchment_T4_2026-08.md,"Real OpenAlex total=152. Strong recent WH-structure siting yield; several OA + LMIC dryland (Jordan, Iraq, Kenya sand dams, Morocco). Excluded W2953766237 (farm-pond amphibian ecology) and W4304014199 (covalent-organic-framework false hit)."
water_harvesting_conservation__T4__grey__water_harvesting__runoff_catchment__2026-08-05,water_harvesting_conservation,water_harvesting__runoff_catchment,T4,grey,WebSearch: 'FAO OR WOCAT OR ICRISAT check dam farm pond percolation tank site selection suitability manual water harvesting structure' ; 'IWMI runoff water harvesting suitability mapping drainage line siting India Sahel GIS methodology' ; 'FAO Water Harvesting manual Critchley Siegert 1991 catchment ratio siting criteria macro-catchment',frame|source_type|relevance|credibility_six_axis|saturation_stop,WH subpractice explicit (PICOS); T4 = biophysical (runoff/slope/soil/drainage-geomorphology/rainfall) + system_constraint; soft enabling-env excluded; urban-stormwater/domestic-RWH excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50,21,21,3,2026-08-05,water_harvesting_discovery_2026-08,Pete/Claude,v1.4.1,water_harvesting_runoff_catchment_T4_2026-08.md,"WebSearch (no true OpenAlex total). Diamond grey: FAO Critchley & Siegert 1991 Water Harvesting Manual (seminal, OA), WOCAT SLM technologies DB (LMIC-grounded), FAO Sivanappan small-watershed WH/SMC tech note. IWMI/ICRISAT-specific siting manual not surfaced as a discrete acquirable doc - gap."
water_harvesting_conservation__T4__tool__water_harvesting__runoff_catchment__2026-08-05,water_harvesting_conservation,water_harvesting__runoff_catchment,T4,tool,GitHub API q=water+harvesting+suitability+AHP / check+dam+site+selection+GIS / runoff+harvesting+MCDA+earth+engine (sort=stars) ; WebSearch 'site:github.com rainwater harvesting suitability check dam AHP weights slope drainage reclassify earth engine' + 'github water harvesting suitability GEE javascript check dam farm pond runoff AHP',frame|source_type|relevance|credibility_six_axis|saturation_stop,WH subpractice explicit (PICOS); T4 = biophysical (runoff/slope/soil/drainage-geomorphology/rainfall) + system_constraint; soft enabling-env excluded; urban-stormwater/domestic-RWH excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50,0,10,0,2026-08-05,water_harvesting_discovery_2026-08,Pete/Claude,v1.4.1,water_harvesting_runoff_catchment_T4_2026-08.md,"GitHub API returned total_count=0 for all three booleans; no open-source repo with WH-structure suitability code found. Closest is G-MCDA (GEE+MCDA MAR web tool, Herrmann et al. Water Resour Manag 2023) but it is a hosted web tool with no public repo/commit to pin file:line hardcoded weights - NOT acquirable as code, so not registered per tool-provenance rule. Tool evidence GAP for this family."
water_harvesting_conservation__T4__stock__water_harvesting__micro_catchment__2026-08-05,water_harvesting_conservation,water_harvesting__micro_catchment,T4,stock,"OpenAlex title.search:(micro-catchment OR microcatchment OR ""semi-circular bund"" OR ""runoff farming"") AND (suitability OR slope OR runoff OR catchment), sort=cited_by_count:desc, per_page=15",frame|source_type|relevance|credibility_six_axis|saturation_stop,WH subpractice explicit (PICOS); T4 = biophysical (runoff/slope/soil/drainage-geomorphology/rainfall) + system_constraint; soft enabling-env excluded; urban-stormwater/domestic-RWH excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50,402,15,5,2026-08-05,water_harvesting_discovery_2026-08,Pete/Claude,v1.4.1,water_harvesting_micro_catchment_T4_2026-08.md,"Real OpenAlex total=402 for the title.search boolean. Top-cited hit ('micro-blogging') and pure-hydro papers (Amazon water balance, snowmelt runoff, geostatistical soil-hydraulics, urban imperviousness) and micro-dam sediment export excluded. Kept foundational MCWH design papers (Boers 1986 x2), micro-catchment SWC case study (Prinz 2004), seminal runoff-farming layout (1968), and a Loess-Plateau field micro-catchment study (Li 2005)."
water_harvesting_conservation__T4__updated_lit__water_harvesting__micro_catchment__2026-08-05,water_harvesting_conservation,water_harvesting__micro_catchment,T4,updated_lit,"OpenAlex title.search:(""water harvesting"" OR microcatchment OR ""micro-catchment"" OR runoff) AND (suitability OR ""site selection"" OR GIS OR ""multi-criteria""), filter from_publication_date:2015-01-01, sort=cited_by_count:desc, per_page=15",frame|source_type|relevance|credibility_six_axis|saturation_stop,WH subpractice explicit (PICOS); T4 = biophysical (runoff/slope/soil/drainage-geomorphology/rainfall) + system_constraint; soft enabling-env excluded; urban-stormwater/domestic-RWH excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50,417,15,5,2026-08-05,water_harvesting_discovery_2026-08,Pete/Claude,v1.4.1,water_harvesting_micro_catchment_T4_2026-08.md,"Real OpenAlex total=417. Heavy signal of pure runoff-estimation (SCS-CN hydrographs, SWAT runoff-sediment, HEC-HMS flash floods, urban LULC-change runoff, green/grey urban stormwater) — all EXCLUDED (no siting/suitability content, or urban). Kept GIS-MCDA/AHP/fuzzy WH site-selection papers, drylands (Jordan, Iraq, semi-arid India)."
water_harvesting_conservation__T4__grey__water_harvesting__micro_catchment__2026-08-05,water_harvesting_conservation,water_harvesting__micro_catchment,T4,grey,WebSearch EN: 'micro-catchment water harvesting suitability slope soil ratio FAO WOCAT manual semi-circular bunds drylands'; ES/FR: 'captacion de agua microcuenca aptitud pendiente suelo manual / captage eau ruissellement demi-lune aptitude Sahel FAO',frame|source_type|relevance|credibility_six_axis|saturation_stop,WH subpractice explicit (PICOS); T4 = biophysical (runoff/slope/soil/drainage-geomorphology/rainfall) + system_constraint; soft enabling-env excluded; urban-stormwater/domestic-RWH excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50,8,8,4,2026-08-05,water_harvesting_discovery_2026-08,Pete/Claude,v1.4.1,water_harvesting_micro_catchment_T4_2026-08.md,"WebSearch fallback (not an OpenAlex total; retrieved = results surfaced). FAO Critchley & Siegert 1991 manual (u3160e) is the canonical gold source: explicit micro-catchment catchment:cropped ratio 1:1-3:1, slope <15% (earth bunds seldom >5% at >300mm), semi-circular bund radii 6m/20m. WOCAT SLM DB, FU-Berlin IWRM microcatchment page, and FAO LatAm manual (ai128s, Spanish) also kept. Snapshot required for each before any EV registration."
water_harvesting_conservation__T4__tool__water_harvesting__micro_catchment__2026-08-05,water_harvesting_conservation,water_harvesting__micro_catchment,T4,tool,WebSearch site:github.com 'rainwater harvesting suitability SCS-CN runoff Google Earth Engine QGIS model slope' and '...reclassify slope soil rainfall weighted overlay AHP script earth engine potential zones',frame|source_type|relevance|credibility_six_axis|saturation_stop,WH subpractice explicit (PICOS); T4 = biophysical (runoff/slope/soil/drainage-geomorphology/rainfall) + system_constraint; soft enabling-env excluded; urban-stormwater/domestic-RWH excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50,9,9,2,2026-08-05,water_harvesting_discovery_2026-08,Pete/Claude,v1.4.1,water_harvesting_micro_catchment_T4_2026-08.md,"WebSearch/GitHub fallback (not an OpenAlex total). Only pure SCS-CN runoff-estimation repos surfaced (ScsUh QGIS plugin, AquaFlow) — runoff-generation is a T4 input layer but siting/suitability is NOT a code branch in them; commit sha + file:line NOT yet pinned, picos_ok=false pending code interrogation. AWH-Geo (atmospheric drinking-water) excluded as out-of-scope. No OA repo with an explicit micro-catchment suitability reclassify/weighted-overlay/AHP branch found — real tool gap; the MCDA logi"
water_harvesting_conservation__T4__stock__water_harvesting__terracing__2026-08-05,water_harvesting_conservation,water_harvesting__terracing,T4,stock,"OpenAlex title.search: (terracing OR ""stone bund"") AND (suitability OR runoff) ; sort=cited_by_count:desc ; also ran (""fanya juu"" OR ""stone bund"" OR terracing) AND (semi-arid OR Ethiopia)",frame|source_type|relevance|credibility_six_axis|saturation_stop,WH subpractice explicit (PICOS); T4 = biophysical (runoff/slope/soil/drainage-geomorphology/rainfall) + system_constraint; soft enabling-env excluded; urban-stormwater/domestic-RWH excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50,106,27,4,2026-08-05,water_harvesting_discovery_2026-08,Pete/Claude,v1.4.1,water_harvesting_terracing_T4_2026-08.md,"Real OpenAlex totals (106 primary; 130 for Ethiopia LMIC variant). >5-boolean queries hit the 1-req/s soft limit, so operators kept <=5. High-cite corpus dominated by terrace/stone-bund runoff+erosion EFFECT studies; screened toward those carrying siting-relevant slope/soil-depth/runoff-coefficient thresholds. Tigray drylands over-represented (LMIC tie-break favourable)."
water_harvesting_conservation__T4__updated_lit__water_harvesting__terracing__2026-08-05,water_harvesting_conservation,water_harvesting__terracing,T4,updated_lit,"OpenAlex title.search: (terracing OR ""stone bund"") AND (suitability OR GIS) , from_publication_date:2015-01-01 ; sort=cited_by_count:desc ; supplemented by WebSearch 'GIS MCDA water harvesting terracing suitability slope runoff SWAT'",frame|source_type|relevance|credibility_six_axis|saturation_stop,WH subpractice explicit (PICOS); T4 = biophysical (runoff/slope/soil/drainage-geomorphology/rainfall) + system_constraint; soft enabling-env excluded; urban-stormwater/domestic-RWH excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50,33,21,3,2026-08-05,water_harvesting_discovery_2026-08,Pete/Claude,v1.4.1,water_harvesting_terracing_T4_2026-08.md,"Real OpenAlex total 33. Recent title-matched set heavily contaminated by archaeology/heritage/fluvial 'terrace' papers (off-scope). GIS-MCDA RWH-siting papers explicitly naming terracing pulled from WebSearch supplement (Betwa India, Hami Qeshan Iraq, Konso Ethiopia)."
water_harvesting_conservation__T4__grey__water_harvesting__terracing__2026-08-05,water_harvesting_conservation,water_harvesting__terracing,T4,grey,WebSearch EN: 'terracing bench terrace stone bund suitability slope criteria GIS site selection FAO WOCAT manual drylands' ; WebSearch ES: 'cordones de piedra terrazas conservacion suelo agua aptitud pendiente FAO manual OR banquetas antierosivas',frame|source_type|relevance|credibility_six_axis|saturation_stop,WH subpractice explicit (PICOS); T4 = biophysical (runoff/slope/soil/drainage-geomorphology/rainfall) + system_constraint; soft enabling-env excluded; urban-stormwater/domestic-RWH excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50,14,14,4,2026-08-05,water_harvesting_discovery_2026-08,Pete/Claude,v1.4.1,water_harvesting_terracing_T4_2026-08.md,"FAO Watershed Management Field Manual (AD083E ch VII-VIII) gives explicit terrace siting rules: slope 7-25deg hand / 7-20deg machine, deep soils, not gully-dissected, not too stony; arid=outward-sloped. Spanish FAO ar758s adds stony-soil stone-cordon rule. WOCAT SLM DB indexed as diamond lead but no single canonical URL captured this pass."
water_harvesting_conservation__T4__tool__water_harvesting__terracing__2026-08-05,water_harvesting_conservation,water_harvesting__terracing,T4,tool,WebSearch github.com: 'rainwater harvesting suitability slope runoff curve number weighted overlay AHP python earthengine' ; 'github GIS MCDA water harvesting terracing suitability model slope runoff SWAT reclassify weights',frame|source_type|relevance|credibility_six_axis|saturation_stop,WH subpractice explicit (PICOS); T4 = biophysical (runoff/slope/soil/drainage-geomorphology/rainfall) + system_constraint; soft enabling-env excluded; urban-stormwater/domestic-RWH excluded,bounded authority-weighted seed-set; OA/downloadable preferred; screen<=50,8,8,0,2026-08-05,water_harvesting_discovery_2026-08,Pete/Claude,v1.4.1,water_harvesting_terracing_T4_2026-08.md,"No verifiable open repo with a TERRACING-specific code branch and hardcoded slope/soil/runoff thresholds. Only GitHub hit (RainwaterHarvestingApp) is urban-tree stormwater = excluded by PICOS. SWAT+SCS-CN+AHP/weighted-overlay recur as de-facto stack but as published methods, not pinnable commits; terracing appears as output class, not parameterised code criterion. GAP: dedicated GitHub pass needed to find a repo exposing terrace-suitability reclassify tables (file:line + commit sha)."
